Age,S,E,I,R,V
0,119367.0,0.0,0.0,0.0,0.0
1,101354.39,30.102242,2.3047023e-05,15583.157,17.305452
2,72774.37,21.717285,1.3453786e-05,42288.52,48.47449
3,76275.86,23.07317,1.17712725e-05,36201.4,76.60953
4,79394.96,24.926708,1.0679601e-05,30631.03,99.13575
5,51790.914,17.08781,6.271485e-06,55755.047,116.91046
6,57147.047,20.21407,147.36797,56326.406,141.41687
7,61485.94,23.37014,147.36798,56569.195,156.45126
8,63827.33,25.89183,147.36798,56031.25,160.32306
9,65662.91,28.526001,147.36797,56041.508,162.79039
10,67391.336,31.703169,147.36798,57362.95,166.86993
11,67825.56,33.996117,147.36798,58377.293,168.81068
12,69269.62,36.465538,147.36797,60410.023,173.45656
13,68921.91,37.929886,147.368,61331.4,174.22227
14,69613.06,39.639362,147.36797,63775.2,178.4123
15,69592.65,40.066338,147.36795,65157.355,180.23419
16,70456.88,39.885868,147.36794,66623.34,183.34196
17,69834.02,38.48864,147.36792,66227.41,181.98166
18,70134.14,37.734997,147.3679,66437.14,182.6628
19,65464.414,34.58206,147.36783,60512.13,8014.605
20,63200.082,32.826374,147.36784,55787.918,14100.017
21,60769.684,30.806768,147.36783,50738.594,18503.475
22,59741.24,29.733059,147.3678,47018.094,22024.502
23,58170.695,28.286247,147.36781,43265.09,24362.508
24,57848.316,27.82752,147.36786,41109.492,26547.562
25,59307.19,27.796196,147.36781,41925.96,27156.992
26,61076.418,28.027014,147.36783,43000.816,27918.643
27,60963.707,27.206701,147.36781,42788.457,27831.494
28,61612.883,26.868784,147.36777,43332.64,28150.697
29,63177.926,27.061716,147.3677,44387.918,28852.61
30,63946.777,27.193993,147.36777,45144.63,29261.33
31,64296.164,27.251171,147.36775,45663.816,29493.771
32,64943.5,27.50657,147.36774,46526.062,29898.145
33,67236.43,28.560362,147.36768,48646.824,31080.434
34,69082.4,29.60214,147.36768,50646.062,32110.475
35,69736.055,29.600658,147.36769,51634.445,32550.168
36,69714.914,29.424305,147.36758,51704.22,32563.062
37,68784.15,28.811747,147.36765,50975.17,32118.42
38,68884.055,28.806221,147.3676,50902.227,32125.686
39,67973.664,28.494728,147.36752,49673.285,31552.72
40,68146.08,28.761774,147.36748,49254.86,31486.91
41,67186.8,28.395035,147.36737,47960.22,30883.137
42,68115.48,28.50025,147.36743,47961.54,31132.307
43,68505.055,27.962183,147.36734,47474.633,31106.023
44,70431.74,27.94251,147.36723,47986.28,31759.047
45,71622.36,27.366478,147.36725,47895.44,32053.258
46,73102.85,27.406477,147.3671,47877.7,32444.947
47,72369.336,26.572676,147.3671,46469.17,31871.234
48,71978.19,25.513437,147.3671,45263.426,31443.252
49,71667.73,24.625586,147.36676,43939.43,31005.338
50,70952.68,23.40033,147.36679,42879.074,30529.648
51,64330.83,20.620783,147.36668,37115.293,40473.27
52,62889.812,19.557312,5.236598e-06,33588.586,49217.664
53,62102.387,18.728832,5.141578e-06,30429.48,55771.914
54,62785.508,18.304934,5.1720053e-06,28039.465,61551.04
55,63228.156,17.884762,5.2227633e-06,25923.293,65741.164
56,63115.926,17.355417,5.2602713e-06,24217.059,68518.79
57,62152.066,16.482904,5.2060695e-06,23888.346,67504.2
58,61674.516,16.000034,5.2818705e-06,23790.377,67052.35
59,61321.324,15.244301,5.2674595e-06,23842.203,66815.41
