a6.c14.06.age,a6.c14.06.rate,a6.c14.06.efficacy
0,0.3,0.5241
1,0.00066,0.5241
2,0.6,0.57
3,0.6,0.57
4,0.6,0.57
5,0.6,0.57
6,0.6,0.57
7,0.6,0.57
8,0.6,0.57
9,0.6,0.57
10,0.6,0.57
11,0.6,0.57
12,0.00066,0.57
13,0.00066,0.57
14,0.00066,0.57
15,0.00066,0.57
16,0.00066,0.57
17,0.00066,0.57
18,0,0.616
19,0,0.616
20,0,0.616
21,0,0.616
22,0,0.616
23,0,0.616
24,0,0.616
25,0,0.616
26,0,0.616
27,0,0.616
28,0,0.616
29,0,0.616
30,0,0.616
31,0,0.616
32,0,0.616
33,0,0.616
34,0,0.616
35,0,0.616
36,0,0.616
37,0,0.616
38,0,0.616
39,0,0.616
40,0,0.616
41,0,0.616
42,0,0.616
43,0,0.616
44,0,0.616
45,0,0.616
46,0,0.616
47,0,0.616
48,0,0.616
49,0,0.616
50,0.48,0.616
51,0.48,0.616
52,0.48,0.616
53,0.48,0.616
54,0.48,0.616
55,0.48,0.616
56,0.48,0.616
57,0.48,0.616
58,0.48,0.616
59,0.48,0.616
60,0.48,0.616
61,0.48,0.616
62,0.48,0.616
63,0.48,0.616
64,0.48,0.616
65,0.5,0.58
66,0.5,0.58
67,0.5,0.58
68,0.5,0.58
69,0.5,0.58
70,0.5,0.58
71,0.5,0.58
72,0.5,0.58
73,0.5,0.58
74,0.5,0.58
75,0.71,0.58
76,0.71,0.58
77,0.71,0.58
78,0.71,0.58
79,0.71,0.58
80,0.71,0.58
81,0.71,0.58
82,0.71,0.58
83,0.71,0.58
84,0.71,0.58
85,0.71,0.58
86,0.71,0.58
87,0.71,0.58
88,0.71,0.58
89,0.71,0.58
90,0.71,0.58
91,0.71,0.58
92,0.71,0.58
93,0.71,0.58
94,0.71,0.58
95,0.71,0.58
96,0.71,0.58
97,0.71,0.58
98,0.71,0.58
99,0.71,0.58
