Age,S,E,I,R,V
0,101618.734,29.935501,2.634276e-05,15320.022,17.305597
1,73074.336,21.629633,1.5397864e-05,41987.5,48.47403
2,76537.086,22.964073,1.3459881e-05,35940.426,76.609566
3,79627.22,24.796486,1.22027e-05,30398.959,99.135765
4,51895.215,16.983091,7.1577238e-06,55650.758,116.910446
5,57255.293,20.087782,147.36797,56218.34,141.4169
6,61598.047,23.22249,147.36798,56457.164,156.4513
7,63940.93,25.727125,147.36798,55917.934,160.32309
8,65778.79,28.344103,147.36797,55925.75,162.79037
9,67511.805,31.501717,147.36798,57242.65,166.8699
10,67949.48,33.78141,147.36798,58253.543,168.81068
11,69398.49,36.236443,147.36797,60281.38,173.45656
12,69052.23,37.692738,147.368,61201.23,174.22224
13,69746.45,39.392513,147.36797,63642.062,178.4123
14,69726.17,39.81693,147.36795,65024.105,180.23422
15,70589.78,39.636303,147.36794,66490.63,183.3419
16,69961.695,38.245605,147.36792,66099.914,181.98167
17,70258.83,37.494843,147.3679,66312.79,182.66267
18,65576.34,34.359627,147.36783,60400.55,8014.613
19,63304.332,32.613277,147.36784,55683.95,14100.02
20,60867.082,30.605356,147.36783,50641.418,18503.479
21,59835.215,29.537796,147.3678,46924.305,22024.496
22,58261.062,28.099937,147.36781,43174.82,24362.506
23,57938.008,27.64415,147.36786,41019.953,26547.557
24,59399.25,27.613085,147.36781,41834.03,27156.986
25,61171.227,27.842384,147.36783,42906.195,27918.643
26,61058.58,27.02758,147.36781,42693.754,27831.488
27,61709.008,26.691998,147.36777,43236.61,28150.7
28,63277.62,26.88414,147.3677,44288.453,28852.61
29,64049.52,27.016327,147.36777,45042.047,29261.33
30,64401.95,27.074179,147.36775,45558.0,29493.768
31,65052.938,27.329004,147.36774,46416.656,29898.145
32,67352.33,28.377083,147.36768,48531.07,31080.43
33,69203.78,29.413166,147.36768,50524.906,32110.47
34,69858.86,29.411808,147.36769,51511.863,32550.18
35,69836.4,29.236038,147.36758,51583.004,32563.059
36,68902.055,28.626585,147.36765,50857.566,32118.424
37,68999.71,28.620089,147.3676,50786.844,32125.682
38,68085.83,28.309797,147.36752,49561.285,31552.72
39,68256.98,28.574453,147.36748,49144.18,31486.91
40,67294.195,28.209293,147.36737,47852.816,30883.137
41,68222.13,28.312891,147.36743,47855.027,31132.307
42,68609.03,27.777033,147.36734,47370.83,31106.02
43,70534.664,27.755924,147.36723,47883.473,31759.055
44,71723.125,27.182264,147.36725,47794.684,32053.25
45,73203.12,27.221037,147.3671,47777.605,32444.943
46,72467.12,26.39234,147.3671,46371.49,31871.23
47,72073.68,25.339668,147.3671,45168.26,31443.264
48,71760.92,24.457226,147.36676,43846.324,31005.342
49,71042.98,23.239704,147.36679,42788.867,30529.637
50,64408.965,20.47805,147.36668,37037.305,40473.26
51,62962.23,19.420717,5.9645204e-06,33516.37,49217.652
52,62171.387,18.597279,5.8561145e-06,30360.518,55771.906
53,62854.08,18.176012,5.890776e-06,27971.055,61551.04
54,63296.664,17.758648,5.948723e-06,25854.918,65741.164
55,63184.508,17.233091,5.9917265e-06,24148.59,68518.8
56,62220.246,16.3669,5.930393e-06,23820.24,67504.21
57,61743.6,15.887795,6.017277e-06,23721.406,67052.35
58,61391.06,15.137623,6.001417e-06,23772.578,66815.38
59,62489.85,14.842563,6.149492e-06,24320.621,68106.73
60,63389.008,14.402204,6.2084027e-06,24707.293,69114.91
61,64610.414,14.159581,6.294607e-06,25275.24,70518.31
62,62983.93,13.243707,6.003165e-06,24444.086,68589.695
63,61228.84,13.189633,5.9897743e-06,23630.738,66574.77
64,60633.438,12.525431,5.654141e-06,23205.717,65773.84
65,54021.203,10.905936,4.8466336e-06,19147.146,72914.47
66,50560.207,10.297369,4.487503e-06,16118.437,77340.95
67,46986.23,9.504298,4.063107e-06,13721.946,77765.39
68,44870.086,8.208363,3.441618e-06,11447.867,77111.51
69,43397.64,7.2757444,2.9969692e-06,9508.823,75844.07
70,41942.375,6.6006827,2.680564e-06,8185.7207,74240.16
71,40573.758,6.109132,2.4554718e-06,7641.7866,71407.01
72,39234.816,5.596002,2.231279e-06,6914.4224,68346.4
73,38463.254,5.1303973,2.0328853e-06,6345.6597,66360.59
74,36376.61,4.461973,1.7590759e-06,5644.539,62231.234
75,32160.174,3.644685,1.4304981e-06,4384.831,65652.88
76,29583.143,3.0327935,1.1857666e-06,3401.4106,65988.25
77,28292.535,2.6621914,1.0378358e-06,2703.3494,65930.63
78,26739.518,2.311552,8.986771e-07,2117.3455,63653.992
79,25666.041,2.1153288,8.1976503e-07,1709.1119,61775.49
80,20861.623,1.6054668,6.196663e-07,1199.0359,50541.184
81,20023.84,1.4552839,5.587732e-07,1075.4187,48337.996
82,18059.861,1.2322587,4.7023335e-07,907.48035,43452.855
83,15113.859,0.9711379,3.6792605e-07,719.47125,36272.254
84,12912.069,0.80147034,3.0087455e-07,579.86957,30907.771
85,13414.872,0.80679506,2.997442e-07,574.7583,32047.16
86,13337.057,0.79648834,2.921742e-07,546.1533,31802.537
87,12248.453,0.721054,2.609002e-07,482.2234,29161.566
88,10577.535,0.6340872,2.2556581e-07,405.65485,25158.035
89,9027.409,0.6872583,2.3729767e-07,356.69913,21494.541
90,7620.199,0.8206193,2.7391425e-07,346.69955,18248.246
91,6426.756,0.7526876,2.4489376e-07,329.87018,15475.21
92,5191.4614,0.6132143,1.9458636e-07,272.49213,12513.949
93,4246.3345,0.48358008,1.4962006e-07,232.39806,10256.909
94,3275.2446,0.38153917,1.1472618e-07,194.51729,7945.763
95,2432.8228,0.35751307,1.03724076e-07,153.95877,5923.4688
96,1620.1744,0.31178868,8.734302e-08,115.44963,3974.3147
97,1093.2047,0.2941912,7.968756e-08,91.06841,2711.7356
98,698.15375,0.26405734,6.9407726e-08,72.403564,1764.4147
99,439.34283,0.2546752,6.514904e-08,62.05168,1148.1855
