Program Name,Cost
program_a2-c27-02,690568960.0
program_a12-c20-04,518701600.0
program_a6-c12-07,441189220.0
program_a16-c15-01,769464700.0
program_a3-c5-08,494325250.0
program_a5-c24-08,398297300.0
program_a15-c2-09,514147500.0
program_a15-c24-07,386893820.0
program_a5-c23-01,557774660.0
program_a11-c11-02,521397900.0
program_a19-c27-05,414098800.0
program_a1-c16-04,399735140.0
program_a3-c2-01,650947900.0
program_a9-c20-03,451111170.0
program_a16-c12-08,437390460.0
program_a23-c9-09,476281630.0
program_a7-c13-03,509540000.0
program_a17-c14-05,400522400.0
program_a3-c26-06,408272540.0
program_a22-c6-07,586373060.0
program_a18-c21-08,445485570.0
program_a10-c10-06,542739900.0
program_a18-c26-01,724256260.0
program_a8-c21-07,503225760.0
program_a14-c25-03,687355260.0
program_a4-c22-05,477318050.0
program_a13-c26-09,401085100.0
program_a14-c3-02,857642400.0
program_a18-c28-04,436319940.0
program_a2-c4-03,791404800.0
program_a23-c25-03,501301100.0
program_a24-c26-09,386544580.0
program_a3-c28-03,417721060.0
program_a22-c8-02,707171140.0
program_a20-c14-05,522529600.0
program_a22-c24-07,374916060.0
program_a1-c18-01,640989630.0
program_a21-c12-08,390856130.0
program_a12-c29-08,401779260.0
program_a21-c15-01,563965400.0
program_a2-c29-07,433030400.0
program_a19-c3-01,655667800.0
program_a6-c7-02,735259840.0
program_a19-c4-08,462326530.0
program_a11-c8-04,444855400.0
program_a17-c32-01,507531740.0
program_a20-c32-01,713600640.0
program_a7-c6-09,424453400.0
program_a11-c6-01,582814850.0
program_a18-c5-03,751141600.0
program_a6-c9-07,621909600.0
program_a13-c31-05,399106400.0
program_a8-c7-09,578052350.0
program_a17-c4-03,530256300.0
program_a1-c3-02,650877950.0
program_a8-c31-02,613097860.0
program_a12-c30-01,672753600.0
program_a20-c7-04,693059700.0
program_a19-c30-09,420265570.0
program_a9-c30-06,416922370.0
program_a9-c8-07,412402300.0
program_a16-c2-01,847702300.0
program_a9-c6-02,557617600.0
program_a20-c9-01,831484100.0
program_a16-c5-08,670861600.0
program_a24-c31-05,396276640.0
program_a8-c17-06,689392450.0
program_a10-c26-07,410039550.0
program_a4-c14-04,552772160.0
program_a14-c13-02,765209340.0
program_a4-c6-01,821603140.0
program_a13-c10-08,399473200.0
program_a17-c22-04,409240640.0
program_a7-c25-02,561328260.0
program_a24-c19-04,572291650.0
program_a13-c17-01,665754500.0
program_a3-c10-07,406558000.0
program_a12-c6-09,543582850.0
program_a18-c17-09,608110140.0
program_a15-c12-06,390290300.0
program_a13-c9-07,528019940.0
program_a9-c16-02,466289540.0
program_a1-c20-05,399229380.0
program_a19-c11-04,472432350.0
program_a11-c27-03,443245980.0
program_a16-c24-09,357668960.0
program_a12-c16-05,447789150.0
program_a2-c11-03,711421000.0
program_a6-c24-06,385501220.0
program_a5-c12-09,391931420.0
program_a19-c18-08,400375040.0
program_a1-c29-09,412743400.0
program_a9-c18-07,408628300.0
program_a11-c29-06,430611360.0
program_a13-c7-02,594188860.0
program_a22-c12-06,477674050.0
program_a21-c24-09,401347420.0
program_a20-c22-04,542906750.0
program_a13-c19-04,485765280.0
program_a24-c17-01,765311400.0
program_a24-c4-05,634340740.0
program_a4-c8-04,634827900.0
program_a23-c13-02,517703330.0
program_a8-c19-03,681098900.0
program_a10-c28-02,594088700.0
program_a24-c10-08,475631460.0
program_a17-c6-06,442979260.0
program_a4-c30-05,402396500.0
program_a8-c2-05,787380000.0
program_a9-c32-03,404456420.0
program_a5-c31-01,527147600.0
program_a20-c2-08,736778700.0
program_a12-c32-04,395171680.0
program_a20-c5-01,846727550.0
program_a16-c9-08,631507100.0
program_a9-c4-07,459052740.0
program_a21-c3-03,581532860.0
program_a17-c8-03,477506560.0
program_a7-c27-07,408882980.0
